Company Name                                       , Symbol               , openPrice  , lastPrice  , dayHigh    , dayLow     , 
Adani Enterprises Ltd.                             , ADANIENT             ,    3447.95 ,    3440.0 ,     3523.8 ,     3371.1 , 
Adani Ports and Special Economic Zone Ltd.         , ADANIPORTS           ,      822.5 ,     820.9 ,     830.45 ,      801.0 , 
Apollo Hospitals Enterprise Ltd.                   , APOLLOHOSP           ,     4352.2 ,    4374.0 ,     4484.9 ,     4352.2 , 
Asian Paints Ltd.                                  , ASIANPAINT           ,     3402.0 ,    3375.0 ,     3411.9 ,    3285.25 , 
Axis Bank Ltd.                                     , AXISBANK             ,      720.0 ,     736.0 ,     737.75 ,      714.4 , 
Bajaj Auto Ltd.                                    , BAJAJ-AUTO           ,     3486.5 ,    3532.0 ,    3553.95 ,    3461.25 , 
Bajaj Finance Ltd.                                 , BAJFINANCE           ,     7081.0 ,    7340.1 ,     7362.0 ,     7026.8 , 
Bajaj Finserv Ltd.                                 , BAJAJFINSV           ,    1625.75 ,    1689.0 ,     1699.0 ,     1621.0 , 
Bharat Petroleum Corporation Ltd.                  , BPCL                 ,      303.6 ,     305.0 ,      308.9 ,     300.85 , 
Bharti Airtel Ltd.                                 , BHARTIARTL           ,     765.95 ,     799.6 ,      809.0 ,     761.45 , 
Britannia Industries Ltd.                          , BRITANNIA            ,     3870.0 ,    3850.0 ,    3887.65 ,    3820.05 , 
Cipla Ltd.                                         , CIPLA                ,    1119.75 ,    1110.0 ,     1128.0 ,    1105.05 , 
Coal India Ltd.                                    , COALINDIA            ,      213.0 ,    212.85 ,      216.0 ,     207.85 , 
Divi's Laboratories Ltd.                           , DIVISLAB             ,     3739.9 ,    3699.0 ,     3739.9 ,     3658.0 , 
Dr. Reddy's Laboratories Ltd.                      , DRREDDY              ,    4382.55 ,   4324.85 ,     4405.0 ,    4272.05 , 
Eicher Motors Ltd.                                 , EICHERMOT            ,    3623.95 ,    3665.0 ,     3693.8 ,    3583.85 , 
Grasim Industries Ltd.                             , GRASIM               ,     1683.0 ,   1675.05 ,     1697.0 ,    1653.95 , 
HCL Technologies Ltd.                              , HCLTECH              ,      921.9 ,     932.1 ,     935.55 ,     910.05 , 
HDFC Bank Ltd.                                     , HDFCBANK             ,     1378.8 ,   1422.05 ,    1431.45 ,     1365.0 , 
HDFC Life Insurance Company Ltd.                   , HDFCLIFE             ,      526.0 ,    529.15 ,      532.4 ,      521.5 , 
Hero MotoCorp Ltd.                                 , HEROMOTOCO           ,     2549.0 ,    2550.2 ,    2592.15 ,     2510.0 , 
Hindalco Industries Ltd.                           , HINDALCO             ,      376.0 ,     391.9 ,     395.35 ,     375.15 , 
Hindustan Unilever Ltd.                            , HINDUNILVR           ,     2707.0 ,    2700.0 ,     2714.9 ,     2667.9 , 
Housing Development Finance Corporation Ltd.       , HDFC                 ,    2223.25 ,    2288.6 ,    2317.85 ,     2202.7 , 
ICICI Bank Ltd.                                    , ICICIBANK            ,      843.9 ,     866.8 ,     867.05 ,      837.5 , 
ITC Ltd.                                           , ITC                  ,     333.05 ,     332.2 ,     335.75 ,     330.15 , 
IndusInd Bank Ltd.                                 , INDUSINDBK           ,     1141.0 ,    1188.0 ,     1192.3 ,     1128.8 , 
Infosys Ltd.                                       , INFY                 ,    1388.95 ,    1413.8 ,     1419.3 ,     1376.0 , 
JSW Steel Ltd.                                     , JSWSTEEL             ,      621.0 ,    630.65 ,     633.95 ,      614.2 , 
Kotak Mahindra Bank Ltd.                           , KOTAKBANK            ,     1768.0 ,    1818.0 ,    1826.45 ,     1757.7 , 
Larsen & Toubro Ltd.                               , LT                   ,    1823.95 ,    1846.0 ,    1882.95 ,    1816.05 , 
Mahindra & Mahindra Ltd.                           , M&M                  ,    1256.95 ,    1268.0 ,     1282.7 ,    1233.05 , 
Maruti Suzuki India Ltd.                           , MARUTI               ,     8668.0 ,    8836.0 ,     8872.0 ,     8558.2 , 
NTPC Ltd.                                          , NTPC                 ,      160.0 ,    159.85 ,     161.55 ,      157.4 , 
Nestle India Ltd.                                  , NESTLEIND            ,    18950.0 ,   19129.0 ,    19195.0 ,    18894.0 , 
Oil & Natural Gas Corporation Ltd.                 , ONGC                 ,      125.5 ,    126.75 ,      132.4 ,      125.5 , 
